strategy,nthreads,npoints,runtime
1,1,10000000,0.92
1,1,10000000,0.92
1,1,10000000,0.92
1,1,10000000,0.92
1,1,100000000,9.25
1,1,100000000,9.32
1,1,100000000,9.28
1,1,100000000,9.25
1,1,1000000000,93.13
1,1,1000000000,93.50
1,1,1000000000,93.52
1,1,1000000000,93.57
1,2,10000000,0.46
1,2,10000000,0.46
1,2,10000000,0.47
1,2,10000000,0.47
1,2,100000000,4.69
1,2,100000000,4.69
1,2,100000000,4.68
1,2,100000000,4.70
1,2,1000000000,47.76
1,2,1000000000,47.11
1,2,1000000000,46.87
1,2,1000000000,46.89
1,3,10000000,0.31
1,3,10000000,0.32
1,3,10000000,0.31
1,3,10000000,0.31
1,3,100000000,3.12
1,3,100000000,3.14
1,3,100000000,3.15
1,3,100000000,3.15
1,3,1000000000,31.27
1,3,1000000000,31.32
1,3,1000000000,31.29
1,3,1000000000,31.41
1,4,10000000,0.23
1,4,10000000,0.24
1,4,10000000,0.24
1,4,10000000,0.23
1,4,100000000,2.37
1,4,100000000,2.36
1,4,100000000,2.37
1,4,100000000,2.39
1,4,1000000000,23.80
1,4,1000000000,23.81
1,4,1000000000,23.73
1,4,1000000000,23.76
1,6,10000000,0.15
1,6,10000000,0.15
1,6,10000000,0.15
1,6,10000000,0.15
1,6,100000000,1.64
1,6,100000000,1.62
1,6,100000000,1.64
1,6,100000000,1.63
1,6,1000000000,16.41
1,6,1000000000,16.34
1,6,1000000000,16.42
1,6,1000000000,16.43
1,8,10000000,0.15
1,8,10000000,0.13
1,8,10000000,0.13
1,8,10000000,0.13
1,8,100000000,1.42
1,8,100000000,1.41
1,8,100000000,1.40
1,8,100000000,1.38
1,8,1000000000,13.86
1,8,1000000000,13.73
1,8,1000000000,13.86
1,8,1000000000,14.21
1,16,10000000,0.15
1,16,10000000,0.15
1,16,10000000,0.13
1,16,10000000,0.14
1,16,100000000,1.38
1,16,100000000,1.27
1,16,100000000,1.34
1,16,100000000,1.33
1,16,1000000000,13.82
1,16,1000000000,13.82
1,16,1000000000,13.90
1,16,1000000000,13.41
1,32,10000000,0.14
1,32,10000000,0.14
1,32,10000000,0.14
1,32,10000000,0.13
1,32,100000000,1.35
1,32,100000000,1.33
1,32,100000000,1.34
1,32,100000000,1.39
1,32,1000000000,13.50
1,32,1000000000,13.21
1,32,1000000000,13.41
1,32,1000000000,13.04
1,64,10000000,0.13
1,64,10000000,0.13
1,64,10000000,0.13
1,64,10000000,0.15
1,64,100000000,1.38
1,64,100000000,1.42
1,64,100000000,1.30
1,64,100000000,1.28
1,64,1000000000,12.83
1,64,1000000000,12.55
1,64,1000000000,12.13
1,64,1000000000,12.11
2,1,10000000,0.91
2,1,10000000,0.92
2,1,10000000,0.91
2,1,10000000,0.91
2,1,100000000,9.18
2,1,100000000,9.21
2,1,100000000,9.38
2,1,100000000,9.35
2,1,1000000000,94.61
2,1,1000000000,94.10
2,1,1000000000,94.26
2,1,1000000000,93.98
2,2,10000000,0.53
2,2,10000000,0.53
2,2,10000000,0.54
2,2,10000000,0.53
2,2,100000000,5.35
2,2,100000000,5.39
2,2,100000000,5.46
2,2,100000000,5.32
2,2,1000000000,53.12
2,2,1000000000,53.95
2,2,1000000000,53.14
2,2,1000000000,54.51
2,3,10000000,0.39
2,3,10000000,0.38
2,3,10000000,0.39
2,3,10000000,0.39
2,3,100000000,3.91
2,3,100000000,3.88
2,3,100000000,3.84
2,3,100000000,3.88
2,3,1000000000,38.78
